Nested Sampling Global Log-Evidence           :    0.225297827432561782E+06  +/-    0.354658481984868879E+00

Dim No.       Mean        Sigma
   1    0.693207626317682513E+00    0.123318430765792991E-03
   2   -0.185270959020981385E+01    0.890636790363426279E-03
   3    0.399840030047584043E-02    0.116415321826934814E-09
   4    0.693207626317682513E+00    0.123318430765792991E-03
   5    0.399840030047584043E-02    0.116415321826934814E-09

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.693232138370443840E+00
   2   -0.185283575122267474E+01
   3    0.399840029669187164E-02
   4    0.693232138370443840E+00
   5    0.399840029669187164E-02

MAP Parameters
Dim No.        Parameter
   1    0.693232138370443840E+00
   2   -0.185283575122267474E+01
   3    0.399840029669187164E-02
   4    0.693232138370443840E+00
   5    0.399840029669187164E-02
